XQ-iMet-XQ Pressure,XQ-iMet-XQ Air Temperature,XQ-iMet-XQ Humidity,XQ-iMet-XQ Humidity Temp,XQ-iMet-XQ Date,XQ-iMet-XQ Time,XQ-iMet-XQ Longitude,XQ-iMet-XQ Latitude,XQ-iMet-XQ Altitude,XQ-iMet-XQ Sat Count,Profile hour,,,,
969.1,4.84,nan,25,2023/09/14,04:46:28,7.1991511,61.6804196,428.067,9,,,,,
969.06,4.86,nan,25,2023/09/14,04:46:29,7.199154,61.6804174,428.266,9,,ASCENT,ASCENT,,
969.03,4.87,nan,25,2023/09/14,04:46:30,7.1991525,61.680417,428.279,9,,ASCENT,ASCENT,,
968.98,4.85,nan,25,2023/09/14,04:46:31,7.1991547,61.6804153,428.905,9,5,ASCENT,ASCENT,,
968.89,4.86,nan,25,2023/09/14,04:46:32,7.1991583,61.6804131,429.822,9,5,ASCENT,ASCENT,,
968.8,4.87,nan,25,2023/09/14,04:46:33,7.1991603,61.6804102,430.969,9,5,ASCENT,ASCENT,,
968.66,4.88,nan,25,2023/09/14,04:46:34,7.1991575,61.6804088,432.022,9,5,ASCENT,ASCENT,,
968.52,4.88,nan,25,2023/09/14,04:46:35,7.1991572,61.6804071,433.374,9,5,ASCENT,ASCENT,,
968.41,4.92,nan,25,2023/09/14,04:46:36,7.199159,61.6804046,435.087,9,5,ASCENT,ASCENT,,
968.23,4.91,nan,25,2023/09/14,04:46:37,7.19916,61.6804018,436.926,9,5,ASCENT,ASCENT,,
968.11,4.85,nan,25,2023/09/14,04:46:38,7.1991592,61.6804019,438.706,9,5,ASCENT,ASCENT,,
967.99,4.81,nan,25,2023/09/14,04:46:39,7.1991574,61.6804023,439.529,9,5,ASCENT,ASCENT,,
967.81,4.76,nan,25,2023/09/14,04:46:40,7.1991592,61.6804013,440.86,9,5,ASCENT,ASCENT,,
967.58,4.75,nan,25,2023/09/14,04:46:41,7.1991613,61.6803999,442.513,9,5,ASCENT,ASCENT,,
967.38,4.77,nan,25,2023/09/14,04:46:42,7.1991619,61.6803994,444.172,9,5,ASCENT,ASCENT,,
967.23,4.75,nan,25,2023/09/14,04:46:43,7.1991633,61.6803991,445.386,9,5,ASCENT,ASCENT,,
967.01,4.88,nan,25,2023/09/14,04:46:44,7.1991626,61.6803991,446.39,9,5,ASCENT,ASCENT,,
966.85,4.89,nan,25,2023/09/14,04:46:45,7.1991673,61.6803965,448.046,9,5,ASCENT,ASCENT,,
966.72,4.88,nan,25,2023/09/14,04:46:46,7.1991717,61.6803942,449.694,9,5,ASCENT,ASCENT,,
966.57,4.88,nan,25,2023/09/14,04:46:47,7.199173,61.6803935,450.78,9,5,ASCENT,ASCENT,,
966.46,4.87,nan,25,2023/09/14,04:46:48,7.1991734,61.6803943,451.737,9,5,ASCENT,ASCENT,,
966.3,4.83,nan,25,2023/09/14,04:46:49,7.1991715,61.6803945,452.889,9,5,ASCENT,ASCENT,,
966.15,4.79,nan,25,2023/09/14,04:46:50,7.1991667,61.6803968,453.444,9,5,ASCENT,ASCENT,,
966.04,4.75,nan,25,2023/09/14,04:46:51,7.1991658,61.6803979,454.683,9,5,ASCENT,ASCENT,,
965.93,4.74,nan,25,2023/09/14,04:46:52,7.1991632,61.6803984,455.777,9,5,ASCENT,ASCENT,,
965.79,4.76,nan,25,2023/09/14,04:46:53,7.1991577,61.6803989,456.264,9,5,ASCENT,ASCENT,,
965.65,4.75,nan,25,2023/09/14,04:46:54,7.1991552,61.6803999,457.057,9,5,ASCENT,ASCENT,,
965.56,4.74,nan,25,2023/09/14,04:46:55,7.1991538,61.6804003,457.614,9,5,ASCENT,ASCENT,,
965.41,4.74,nan,25,2023/09/14,04:46:56,7.1991578,61.6803992,459.004,9,5,ASCENT,ASCENT,,
965.25,4.75,nan,25,2023/09/14,04:46:57,7.1991582,61.6804,460.139,9,5,ASCENT,ASCENT,,
965.1,4.72,nan,25,2023/09/14,04:46:58,7.1991531,61.6804033,460.885,9,5,ASCENT,ASCENT,,
964.94,4.78,nan,25,2023/09/14,04:46:59,7.1991509,61.6804053,461.915,9,5,ASCENT,ASCENT,,
964.85,4.8,nan,25,2023/09/14,04:47:00,7.1991503,61.6804055,463.341,9,5,ASCENT,ASCENT,,
964.69,4.79,nan,25,2023/09/14,04:47:01,7.199154,61.6804035,464.774,9,5,ASCENT,ASCENT,,
964.54,4.84,nan,25,2023/09/14,04:47:02,7.1991574,61.6804011,466.606,9,5,ASCENT,ASCENT,,
964.39,4.91,nan,25,2023/09/14,04:47:03,7.19916,61.6804008,468.404,9,5,ASCENT,ASCENT,,
964.22,4.99,nan,25,2023/09/14,04:47:04,7.1991618,61.6804015,469.986,9,5,ASCENT,ASCENT,,
964.06,5.05,nan,25,2023/09/14,04:47:05,7.1991618,61.6804012,471.507,9,5,ASCENT,ASCENT,,
963.98,5.11,nan,25,2023/09/14,04:47:06,7.1991611,61.6804014,473.091,9,5,ASCENT,ASCENT,,
963.73,5.14,nan,25,2023/09/14,04:47:07,7.1991582,61.6804027,474.151,8,5,ASCENT,ASCENT,,
963.61,5.15,nan,25,2023/09/14,04:47:08,7.1991555,61.6804035,475.107,9,5,ASCENT,ASCENT,,
963.54,5.16,nan,25,2023/09/14,04:47:09,7.199157,61.6804024,476.331,9,5,ASCENT,ASCENT,,
963.4,5.18,nan,25,2023/09/14,04:47:10,7.1991586,61.6804011,477.31,9,5,ASCENT,ASCENT,,
963.28,5.17,nan,25,2023/09/14,04:47:11,7.1991613,61.6804004,478.785,9,5,ASCENT,ASCENT,,
963.11,5.18,nan,25,2023/09/14,04:47:12,7.1991632,61.6804012,480.696,9,5,ASCENT,ASCENT,,
962.99,5.16,nan,25,2023/09/14,04:47:13,7.1991617,61.6804027,482.835,9,5,ASCENT,ASCENT,,
962.88,5.17,nan,25,2023/09/14,04:47:14,7.1991594,61.6804038,484.534,9,5,ASCENT,ASCENT,,
962.73,5.18,nan,25,2023/09/14,04:47:15,7.1991597,61.6804038,486.207,9,5,ASCENT,ASCENT,,
962.55,5.18,nan,25,2023/09/14,04:47:16,7.1991589,61.6804031,487.556,9,5,ASCENT,ASCENT,,
962.44,5.17,nan,25,2023/09/14,04:47:17,7.1991566,61.6804036,488.666,9,5,ASCENT,ASCENT,,
962.32,5.19,nan,25,2023/09/14,04:47:18,7.199158,61.6804027,489.744,9,5,ASCENT,ASCENT,,
962.18,5.2,nan,25,2023/09/14,04:47:19,7.1991581,61.6804013,490.704,9,5,ASCENT,ASCENT,,
962.05,5.21,nan,25,2023/09/14,04:47:20,7.1991591,61.6803997,491.824,9,5,ASCENT,ASCENT,,
961.89,5.22,nan,25,2023/09/14,04:47:21,7.1991599,61.6803983,492.707,9,5,ASCENT,ASCENT,,
961.78,5.24,nan,25,2023/09/14,04:47:22,7.1991611,61.6803978,493.928,9,5,ASCENT,ASCENT,,
961.69,5.22,nan,25,2023/09/14,04:47:23,7.1991586,61.6803989,494.503,9,5,ASCENT,ASCENT,,
961.69,5.22,nan,25,2023/09/14,04:47:23,7.1991586,61.6803989,494.503,9,5,ASCENT,ASCENT,,
961.51,5.21,nan,25,2023/09/14,04:47:24,7.199156,61.6804003,495.189,9,5,ASCENT,ASCENT,,
961.43,5.19,nan,25,2023/09/14,04:47:25,7.1991516,61.6804021,496.097,9,5,ASCENT,ASCENT,,
961.26,5.17,nan,25,2023/09/14,04:47:26,7.1991504,61.6804021,496.654,9,5,ASCENT,ASCENT,,
961.17,5.17,nan,25,2023/09/14,04:47:27,7.1991513,61.680402,497.312,9,5,ASCENT,ASCENT,,
961.05,5.17,nan,25,2023/09/14,04:47:28,7.1991521,61.6804019,498.421,9,5,ASCENT,ASCENT,,
960.89,5.15,nan,25,2023/09/14,04:47:29,7.1991552,61.680401,499.515,9,5,ASCENT,ASCENT,,
960.77,5.18,nan,25,2023/09/14,04:47:30,7.1991537,61.680402,500.68,9,5,ASCENT,ASCENT,,
960.66,5.17,nan,25,2023/09/14,04:47:31,7.1991502,61.680404,502.32,9,5,ASCENT,ASCENT,,
960.54,5.18,nan,25,2023/09/14,04:47:32,7.199151,61.6804042,503.901,9,5,ASCENT,ASCENT,,
960.42,5.17,nan,25,2023/09/14,04:47:33,7.1991483,61.6804055,505.01,9,5,ASCENT,ASCENT,,
960.3,5.15,nan,25,2023/09/14,04:47:34,7.1991469,61.6804058,505.943,9,5,ASCENT,ASCENT,,
960.17,5.16,nan,25,2023/09/14,04:47:35,7.1991455,61.680406,506.865,9,5,ASCENT,ASCENT,,
960.02,5.14,nan,25,2023/09/14,04:47:36,7.199144,61.6804071,507.846,9,5,ASCENT,ASCENT,,
959.92,5.15,nan,25,2023/09/14,04:47:37,7.1991468,61.6804067,508.948,9,5,ASCENT,ASCENT,,
959.78,5.14,nan,25,2023/09/14,04:47:38,7.1991511,61.6804054,510.209,9,5,ASCENT,ASCENT,,
959.66,5.13,nan,25,2023/09/14,04:47:39,7.1991539,61.6804048,511.14,9,5,ASCENT,ASCENT,,
959.52,5.13,nan,25,2023/09/14,04:47:40,7.1991543,61.6804061,512.411,9,5,ASCENT,ASCENT,,
959.41,5.14,nan,25,2023/09/14,04:47:41,7.1991523,61.680407,513.45,9,5,ASCENT,ASCENT,,
959.28,5.12,nan,25,2023/09/14,04:47:42,7.19915,61.6804071,514.21,9,5,ASCENT,ASCENT,,
959.19,5.12,nan,25,2023/09/14,04:47:43,7.1991462,61.6804095,515.601,9,5,ASCENT,ASCENT,,
959.06,5.1,nan,25,2023/09/14,04:47:44,7.1991446,61.6804109,516.376,9,5,ASCENT,ASCENT,,
958.93,5.09,nan,25,2023/09/14,04:47:45,7.1991449,61.6804119,517.506,9,5,ASCENT,ASCENT,,
958.8,5.06,nan,25,2023/09/14,04:47:46,7.1991439,61.6804126,518.621,9,5,ASCENT,ASCENT,,
958.65,5.05,nan,25,2023/09/14,04:47:47,7.1991453,61.6804125,519.559,9,5,ASCENT,ASCENT,,
958.49,5.07,nan,25,2023/09/14,04:47:48,7.1991487,61.6804123,521.012,9,5,ASCENT,ASCENT,,
958.39,5.07,nan,25,2023/09/14,04:47:49,7.1991511,61.6804121,522.38,10,5,ASCENT,ASCENT,,
958.29,5.07,nan,25,2023/09/14,04:47:50,7.1991532,61.6804122,523.548,10,5,ASCENT,ASCENT,,
958.17,5.08,nan,25,2023/09/14,04:47:51,7.1991543,61.6804125,524.645,10,5,ASCENT,ASCENT,,
958.01,5.1,nan,25,2023/09/14,04:47:52,7.199157,61.6804116,525.649,10,5,ASCENT,ASCENT,,
957.86,5.09,nan,25,2023/09/14,04:47:53,7.1991592,61.6804103,526.643,10,5,ASCENT,ASCENT,,
957.75,5.1,nan,25,2023/09/14,04:47:54,7.1991555,61.6804119,528.209,10,5,ASCENT,ASCENT,,
957.6,5.11,nan,25,2023/09/14,04:47:55,7.1991516,61.6804132,529.973,10,5,ASCENT,ASCENT,,
957.27,5.18,nan,25,2023/09/14,04:47:56,7.1991486,61.6804138,532.34,10,5,ASCENT,ASCENT,,
956.96,5.21,nan,25,2023/09/14,04:47:57,7.1991448,61.680416,534.546,10,5,ASCENT,ASCENT,,
956.7,5.22,nan,25,2023/09/14,04:47:58,7.1991433,61.6804171,536.673,10,5,ASCENT,ASCENT,,
956.45,5.26,nan,25,2023/09/14,04:47:59,7.1991431,61.6804163,538.83,10,5,ASCENT,ASCENT,,
956.22,5.3,nan,25,2023/09/14,04:48:00,7.1991444,61.6804142,540.919,10,5,ASCENT,ASCENT,,
955.96,5.3,nan,25,2023/09/14,04:48:01,7.1991427,61.6804136,542.87,10,5,ASCENT,ASCENT,,
955.73,5.29,nan,25,2023/09/14,04:48:02,7.199142,61.6804129,544.77,10,5,ASCENT,ASCENT,,
955.45,5.32,nan,25,2023/09/14,04:48:03,7.199139,61.6804141,546.228,10,5,ASCENT,ASCENT,,
955.19,5.33,nan,25,2023/09/14,04:48:04,7.1991381,61.6804149,547.854,10,5,ASCENT,ASCENT,,
954.94,5.33,nan,25,2023/09/14,04:48:05,7.1991401,61.6804142,550.044,10,5,ASCENT,ASCENT,,
954.72,5.35,nan,25,2023/09/14,04:48:06,7.1991422,61.6804127,552.152,10,5,ASCENT,ASCENT,,
954.5,5.33,nan,25,2023/09/14,04:48:07,7.1991435,61.6804119,554.131,10,5,ASCENT,ASCENT,,
954.21,5.32,nan,25,2023/09/14,04:48:08,7.1991433,61.6804122,556.482,10,5,ASCENT,ASCENT,,
953.95,5.3,nan,25,2023/09/14,04:48:09,7.1991431,61.6804122,559.033,10,5,ASCENT,ASCENT,,
953.75,5.28,nan,25,2023/09/14,04:48:10,7.1991452,61.6804106,561.64,10,5,ASCENT,ASCENT,,
953.46,5.29,nan,25,2023/09/14,04:48:11,7.1991483,61.6804092,563.42,10,5,ASCENT,ASCENT,,
953.24,5.31,nan,25,2023/09/14,04:48:12,7.1991496,61.6804083,565.393,10,5,ASCENT,ASCENT,,
953.01,5.28,nan,25,2023/09/14,04:48:13,7.1991505,61.6804071,567.42,10,5,ASCENT,ASCENT,,
952.73,5.27,nan,25,2023/09/14,04:48:14,7.1991509,61.6804067,568.914,10,5,ASCENT,ASCENT,,
952.48,5.29,nan,25,2023/09/14,04:48:15,7.1991511,61.6804069,570.68,10,5,ASCENT,ASCENT,,
952.28,5.31,nan,25,2023/09/14,04:48:16,7.1991501,61.6804075,572.304,10,5,ASCENT,ASCENT,,
952.03,5.3,nan,25,2023/09/14,04:48:17,7.1991487,61.6804072,574.379,10,5,ASCENT,ASCENT,,
951.78,5.3,nan,25,2023/09/14,04:48:18,7.1991461,61.6804067,576.244,10,5,ASCENT,ASCENT,,
951.53,5.36,nan,25,2023/09/14,04:48:19,7.1991453,61.6804065,578.24,11,5,ASCENT,ASCENT,,
951.32,5.37,nan,25,2023/09/14,04:48:20,7.1991474,61.680405,580.743,11,5,ASCENT,ASCENT,,
951.07,5.38,nan,25,2023/09/14,04:48:21,7.1991471,61.6804041,582.772,11,5,ASCENT,ASCENT,,
950.83,5.4,nan,25,2023/09/14,04:48:22,7.1991455,61.6804041,584.343,11,5,ASCENT,ASCENT,,
950.58,5.41,nan,25,2023/09/14,04:48:23,7.1991476,61.6804033,586.366,11,5,ASCENT,ASCENT,,
950.34,5.4,nan,25,2023/09/14,04:48:24,7.199149,61.6804029,588.355,11,5,ASCENT,ASCENT,,
950.09,5.39,nan,25,2023/09/14,04:48:25,7.1991495,61.6804029,590.205,11,5,ASCENT,ASCENT,,
949.85,5.31,nan,25,2023/09/14,04:48:26,7.1991516,61.6804026,592.338,11,5,ASCENT,ASCENT,,
949.61,5.26,nan,25,2023/09/14,04:48:27,7.1991527,61.6804027,594.325,11,5,ASCENT,ASCENT,,
949.34,5.29,nan,25,2023/09/14,04:48:28,7.1991517,61.6804031,596.063,11,5,ASCENT,ASCENT,,
949.1,5.37,nan,25,2023/09/14,04:48:29,7.1991529,61.6804025,598.146,11,5,ASCENT,ASCENT,,
948.88,5.41,nan,25,2023/09/14,04:48:30,7.1991512,61.6804031,600.246,11,5,ASCENT,ASCENT,,
948.63,5.49,nan,25,2023/09/14,04:48:31,7.199151,61.6804035,602.285,11,5,ASCENT,ASCENT,,
948.39,5.55,nan,25,2023/09/14,04:48:32,7.1991499,61.6804036,604.17,11,5,ASCENT,ASCENT,,
948.13,5.58,nan,25,2023/09/14,04:48:33,7.1991492,61.6804037,605.863,11,5,ASCENT,ASCENT,,
947.91,5.59,nan,25,2023/09/14,04:48:34,7.1991497,61.6804034,607.82,11,5,ASCENT,ASCENT,,
947.66,5.61,nan,25,2023/09/14,04:48:35,7.1991498,61.6804031,609.573,11,5,ASCENT,ASCENT,,
947.37,5.67,nan,25,2023/09/14,04:48:36,7.1991488,61.6804029,611.264,11,5,ASCENT,ASCENT,,
947.18,5.67,nan,25,2023/09/14,04:48:37,7.199149,61.6804018,613.274,11,5,ASCENT,ASCENT,,
946.9,5.69,nan,25,2023/09/14,04:48:38,7.1991475,61.6804015,615.048,11,5,ASCENT,ASCENT,,
946.71,5.72,nan,25,2023/09/14,04:48:39,7.1991505,61.6804002,617.322,11,5,ASCENT,ASCENT,,
946.45,5.71,nan,25,2023/09/14,04:48:40,7.1991539,61.6803992,619.256,11,5,ASCENT,ASCENT,,
946.22,5.72,nan,25,2023/09/14,04:48:41,7.1991564,61.6803988,621.024,11,5,ASCENT,ASCENT,,
945.98,5.73,nan,25,2023/09/14,04:48:42,7.1991551,61.6803996,622.686,11,5,ASCENT,ASCENT,,
945.72,5.73,nan,25,2023/09/14,04:48:43,7.1991546,61.6803997,624.661,11,5,ASCENT,ASCENT,,
945.5,5.71,nan,25,2023/09/14,04:48:44,7.1991557,61.680399,626.757,11,5,ASCENT,ASCENT,,
945.24,5.69,nan,25,2023/09/14,04:48:45,7.1991557,61.680398,628.819,11,5,ASCENT,ASCENT,,
945.03,5.7,nan,25,2023/09/14,04:48:46,7.1991548,61.6803972,630.837,11,5,ASCENT,ASCENT,,
944.76,5.69,nan,25,2023/09/14,04:48:47,7.1991543,61.680397,632.911,11,5,ASCENT,ASCENT,,
944.5,5.68,nan,25,2023/09/14,04:48:48,7.1991531,61.6803973,635.063,11,5,ASCENT,ASCENT,,
944.27,5.7,nan,25,2023/09/14,04:48:49,7.1991532,61.6803974,637.324,11,5,ASCENT,ASCENT,,
944,5.7,nan,25,2023/09/14,04:48:50,7.1991531,61.6803973,639.744,11,5,ASCENT,ASCENT,,
943.71,5.7,nan,25,2023/09/14,04:48:51,7.199153,61.6803971,642.118,11,5,ASCENT,ASCENT,,
943.53,5.7,nan,25,2023/09/14,04:48:52,7.1991523,61.6803975,644.031,11,5,ASCENT,ASCENT,,
943.24,5.73,nan,25,2023/09/14,04:48:53,7.1991513,61.6803983,645.978,11,5,ASCENT,ASCENT,,
943.01,5.76,nan,25,2023/09/14,04:48:54,7.199151,61.6803988,648.35,11,5,ASCENT,ASCENT,,
942.79,5.74,nan,25,2023/09/14,04:48:55,7.1991504,61.6803991,650.688,11,5,ASCENT,ASCENT,,
942.52,5.78,nan,25,2023/09/14,04:48:56,7.199151,61.6803993,652.749,11,5,ASCENT,ASCENT,,
942.31,5.81,nan,25,2023/09/14,04:48:57,7.1991524,61.6803994,654.707,11,5,ASCENT,ASCENT,,
942.08,5.8,nan,25,2023/09/14,04:48:58,7.1991536,61.6803994,656.657,11,5,ASCENT,ASCENT,,
941.86,5.82,nan,25,2023/09/14,04:48:59,7.1991574,61.6803985,658.871,11,5,ASCENT,ASCENT,,
941.58,5.82,nan,25,2023/09/14,04:49:00,7.1991589,61.6803981,660.969,11,5,ASCENT,ASCENT,,
941.34,5.84,nan,25,2023/09/14,04:49:01,7.1991589,61.680398,662.945,11,5,ASCENT,ASCENT,,
941.06,5.84,nan,25,2023/09/14,04:49:02,7.1991563,61.6803991,665.003,11,5,ASCENT,ASCENT,,
940.81,5.82,nan,25,2023/09/14,04:49:03,7.1991549,61.6803999,667.325,11,5,ASCENT,ASCENT,,
940.61,5.83,nan,25,2023/09/14,04:49:04,7.1991543,61.6804001,669.508,11,5,ASCENT,ASCENT,,
940.39,5.81,nan,25,2023/09/14,04:49:05,7.1991545,61.6804,671.614,12,5,ASCENT,ASCENT,,
940.1,5.81,nan,25,2023/09/14,04:49:06,7.199156,61.6803992,673.757,12,5,ASCENT,ASCENT,,
939.85,5.78,nan,25,2023/09/14,04:49:07,7.1991559,61.680399,675.947,12,5,ASCENT,ASCENT,,
939.59,5.81,nan,25,2023/09/14,04:49:08,7.1991573,61.6803983,678.433,12,5,ASCENT,ASCENT,,
939.36,5.78,nan,25,2023/09/14,04:49:09,7.199157,61.6803982,680.645,12,5,ASCENT,ASCENT,,
939.04,5.78,nan,25,2023/09/14,04:49:09,7.199157,61.6803982,680.645,12,5,ASCENT,ASCENT,,
939.04,5.78,nan,25,2023/09/14,04:49:10,7.1991545,61.6803987,682.478,12,5,ASCENT,ASCENT,,
938.84,5.75,nan,25,2023/09/14,04:49:11,7.1991543,61.6803981,684.32,12,5,ASCENT,ASCENT,,
938.62,5.76,nan,25,2023/09/14,04:49:12,7.1991547,61.6803975,686.165,12,5,ASCENT,ASCENT,,
938.43,5.74,nan,25,2023/09/14,04:49:13,7.1991537,61.6803976,688.058,12,5,ASCENT,ASCENT,,
938.19,5.73,nan,25,2023/09/14,04:49:14,7.1991529,61.6803976,690.016,12,5,ASCENT,ASCENT,,
937.93,5.72,nan,25,2023/09/14,04:49:15,7.1991513,61.680398,691.941,12,5,ASCENT,ASCENT,,
937.68,5.72,nan,25,2023/09/14,04:49:16,7.1991487,61.6803992,693.861,12,5,ASCENT,ASCENT,,
937.47,5.69,nan,25,2023/09/14,04:49:17,7.1991455,61.6804003,695.75,12,5,ASCENT,ASCENT,,
937.18,5.7,nan,25,2023/09/14,04:49:18,7.1991457,61.6804001,698.062,12,5,ASCENT,ASCENT,,
936.95,5.68,nan,25,2023/09/14,04:49:19,7.1991446,61.6804005,699.949,12,5,ASCENT,ASCENT,,
936.76,5.68,nan,25,2023/09/14,04:49:20,7.1991415,61.6804016,701.525,12,5,ASCENT,ASCENT,,
936.56,5.66,nan,25,2023/09/14,04:49:21,7.1991396,61.6804026,703.461,12,5,ASCENT,ASCENT,,
936.28,5.68,nan,25,2023/09/14,04:49:22,7.1991387,61.6804034,705.572,12,5,ASCENT,ASCENT,,
936.06,5.71,nan,25,2023/09/14,04:49:23,7.1991396,61.6804033,707.725,12,5,ASCENT,ASCENT,,
935.8,5.71,nan,25,2023/09/14,04:49:24,7.1991413,61.6804022,709.905,12,5,ASCENT,ASCENT,,
935.57,5.71,nan,25,2023/09/14,04:49:25,7.1991407,61.6804015,711.926,12,5,ASCENT,ASCENT,,
935.26,5.68,nan,25,2023/09/14,04:49:26,7.1991408,61.6804008,714.024,12,5,ASCENT,ASCENT,,
935.06,5.66,nan,25,2023/09/14,04:49:27,7.1991401,61.680401,716.051,12,5,ASCENT,ASCENT,,
934.81,5.63,nan,25,2023/09/14,04:49:28,7.1991413,61.6804005,718.308,12,5,ASCENT,ASCENT,,
934.6,5.6,nan,25,2023/09/14,04:49:29,7.1991402,61.6804007,720.357,12,5,ASCENT,ASCENT,,
934.4,5.59,nan,25,2023/09/14,04:49:30,7.1991381,61.6804007,722.392,12,5,ASCENT,ASCENT,,
934.13,5.57,nan,25,2023/09/14,04:49:31,7.1991359,61.6804008,724.283,12,5,ASCENT,ASCENT,,
933.86,5.57,nan,25,2023/09/14,04:49:32,7.1991374,61.6803994,726.516,12,5,ASCENT,ASCENT,,
933.62,5.58,nan,25,2023/09/14,04:49:33,7.1991357,61.6803988,728.409,12,5,ASCENT,ASCENT,,
933.39,5.58,nan,25,2023/09/14,04:49:34,7.1991358,61.6803987,730.668,12,5,ASCENT,ASCENT,,
933.14,5.58,nan,25,2023/09/14,04:49:35,7.1991358,61.6803986,732.626,12,5,ASCENT,ASCENT,,
932.85,5.58,nan,25,2023/09/14,04:49:36,7.1991359,61.6803983,734.615,12,5,ASCENT,ASCENT,,
932.63,5.57,nan,25,2023/09/14,04:49:37,7.1991337,61.6803987,736.454,12,5,ASCENT,ASCENT,,
932.42,5.55,nan,25,2023/09/14,04:49:38,7.1991336,61.6803988,738.765,12,5,ASCENT,ASCENT,,
932.21,5.54,nan,25,2023/09/14,04:49:39,7.1991327,61.6803997,740.702,12,5,ASCENT,ASCENT,,
932.02,5.54,nan,25,2023/09/14,04:49:40,7.1991306,61.6804013,742.624,12,5,ASCENT,ASCENT,,
931.68,5.54,nan,25,2023/09/14,04:49:41,7.1991302,61.6804019,744.696,12,5,ASCENT,ASCENT,,
931.47,5.53,nan,25,2023/09/14,04:49:42,7.1991306,61.6804025,746.846,12,5,ASCENT,ASCENT,,
931.25,5.52,nan,25,2023/09/14,04:49:43,7.1991303,61.6804035,748.885,12,5,ASCENT,ASCENT,,
931.03,5.51,nan,25,2023/09/14,04:49:44,7.1991266,61.6804067,750.739,12,5,ASCENT,ASCENT,,
930.77,5.5,nan,25,2023/09/14,04:49:45,7.1991283,61.6804068,752.867,12,5,ASCENT,ASCENT,,
930.59,5.49,nan,25,2023/09/14,04:49:46,7.1991261,61.6804078,754.548,12,5,ASCENT,ASCENT,,
930.28,5.48,nan,25,2023/09/14,04:49:47,7.1991214,61.6804079,756.336,12,5,ASCENT,ASCENT,,
930.08,5.46,nan,25,2023/09/14,04:49:48,7.1991222,61.6804069,758.502,12,5,ASCENT,ASCENT,,
929.83,5.45,nan,25,2023/09/14,04:49:49,7.1991209,61.6804068,760.602,12,5,ASCENT,ASCENT,,
929.68,5.43,nan,25,2023/09/14,04:49:50,7.1991191,61.6804069,762.327,12,5,ASCENT,ASCENT,,
929.43,5.43,nan,25,2023/09/14,04:49:51,7.1991177,61.680407,764.216,12,5,ASCENT,ASCENT,,
929.19,5.42,nan,25,2023/09/14,04:49:52,7.1991177,61.6804071,766.241,12,5,ASCENT,ASCENT,,
928.94,5.39,nan,25,2023/09/14,04:49:53,7.1991158,61.6804079,768.08,12,5,ASCENT,ASCENT,,
928.71,5.36,nan,25,2023/09/14,04:49:54,7.1991157,61.6804083,770.028,12,5,ASCENT,ASCENT,,
928.46,5.36,nan,25,2023/09/14,04:49:55,7.1991175,61.6804079,772.066,13,5,ASCENT,ASCENT,,
